Angle	RealHeight	Ref. Height	Distortion
0	0	0	0
2	0.110838522	0.110838522	0
4	0.221947701	0.221947701	0
6	0.333600843	0.333600843	0
8	0.446076609	0.446076609	0
10	0.559661837	0.559661837	0
12	0.674654527	0.674654527	0
14	0.791367081	0.791367081	0
16	0.910129854	0.910129854	0
18	1.031295116	1.031295116	0
20	1.155241524	1.155241524	0
22	1.282379241	1.282379241	0
24	1.413155847	1.413155847	0
26	1.548063236	1.548063236	0
28	1.687645736	1.687645736	0
30	1.832509754	1.832509754	0
32	1.983335323	1.983335323	0
34	2.140890032	2.140890032	0
36	2.306045984	2.306045984	0
38	2.479800579	2.479800579	0
40	2.663302229	2.663302229	0
42	2.857882437	2.857882437	0
44	3.065096171	3.065096171	0
46	3.286773216	3.286773216	0
48	3.525084122	3.525084122	0
50	3.782625903	3.782625903	0
52	4.062534741	4.062534741	0
54	4.368636216	4.368636216	0
56	4.705648514	4.705648514	0
58	5.079461795	5.079461795	0
60	5.497529263	5.497529263	0
62	5.969425801	5.969425801	0
64	6.507664393	6.507664393	0
66	7.12892072	7.12892072	0
68	7.855925673	7.855925673	0
70	8.720493329	8.720493329	0
72	9.768567547	9.768567547	0
74	11.06905344	11.06905344	0
76	12.73021868	12.73021868	0
78	14.93249597	14.93249597	0
80	18.0006485	18.0006485	0
82	22.5841835	22.5841835	0
84	30.19859278	30.19859278	0
86	45.3903147	45.3903147	0
88	90.89146792	90.89146792	0
90	5.18141E+16	5.18141E+16	0
92	-90.89146792	-90.89146792	0
94	-45.3903147	-45.3903147	0
96	-30.19859278	-30.19859278	0
98	-22.5841835	-22.5841835	0
100	-18.0006485	-18.0006485	0

