Angle	RealHeight	Ref. Height	Distortion
71.4	1.4641	3.2939	-55.5494
71.5	1.4662	3.313	-55.745
71.6	1.4682	3.3323	-55.941
71.7	1.4702	3.3518	-56.1375
71.8	1.4722	3.3715	-56.3344
71.9	1.4742	3.3915	-56.5318
72	1.4762	3.4116	-56.7297
72.1	1.4782	3.432	-56.928
72.2	1.4802	3.4526	-57.1268
72.3	1.4822	3.4734	-57.3261
72.4	1.4842	3.4945	-57.5258
72.5	1.4862	3.5157	-57.726
72.6	1.4882	3.5372	-57.9266
72.7	1.4902	3.559	-58.1278
72.8	1.4922	3.581	-58.3293
72.9	1.4942	3.6033	-58.5314
73	1.4962	3.6258	-58.7339
73.1	1.4982	3.6485	-58.9369
73.2	1.5002	3.6715	-59.1403
73.3	1.5022	3.6948	-59.3442
73.4	1.5041	3.7184	-59.5486
73.5	1.5061	3.7422	-59.7535
73.6	1.5081	3.7664	-59.9588
73.7	1.5101	3.7908	-60.1646
73.8	1.5121	3.8155	-60.3708
73.9	1.514	3.8405	-60.5776
74	1.516	3.8658	-60.7847
74.1	1.518	3.8914	-60.9924
74.2	1.5199	3.9174	-61.2005
74.3	1.5219	3.9436	-61.4091
74.4	1.5238	3.9702	-61.6182
74.5	1.5258	3.9971	-61.8277
74.6	1.5278	4.0244	-62.0377
74.7	1.5297	4.052	-62.2482
74.8	1.5317	4.08	-62.4592
74.9	1.5336	4.1083	-62.6706
75	1.5356	4.137	-62.8825
75.1	1.5375	4.1661	-63.0948
75.2	1.5394	4.1955	-63.3076
75.3	1.5414	4.2254	-63.5209
75.4	1.5433	4.2556	-63.7347
75.5	1.5452	4.2863	-63.949
75.6	1.5472	4.3173	-64.1637
75.7	1.5491	4.3488	-64.3789
75.8	1.551	4.3808	-64.5945
75.9	1.553	4.4131	-64.8106
76	1.5549	4.446	-65.0273
76.1	1.5568	4.4793	-65.2443
76.2	1.5587	4.513	-65.4619
76.3	1.5606	4.5473	-65.6799
76.4	1.5625	4.582	-65.8984
76.5	1.5644	4.6173	-66.1174
76.6	1.5664	4.653	-66.3368
76.7	1.5683	4.6893	-66.5567
76.8	1.5702	4.7261	-66.7771
76.9	1.5721	4.7635	-66.998
77	1.574	4.8015	-67.2193
77.1	1.5758	4.84	-67.4411
77.2	1.5777	4.8791	-67.6634
77.3	1.5796	4.9188	-67.8861
77.4	1.5815	4.9592	-68.1094
77.5	1.5834	5.0001	-68.3331
77.6	1.5853	5.0418	-68.5572
77.7	1.5871	5.0841	-68.7819
77.8	1.589	5.127	-69.007
77.9	1.5909	5.1707	-69.2326
78	1.5928	5.2151	-69.4587
78.1	1.5946	5.2602	-69.6852
78.2	1.5965	5.3061	-69.9123
78.3	1.5983	5.3528	-70.1398
78.4	1.6002	5.4002	-70.3677
78.5	1.6021	5.4485	-70.5962
78.6	1.6039	5.4976	-70.8251
78.7	1.6058	5.5475	-71.0545
78.8	1.6076	5.5984	-71.2844
78.9	1.6094	5.6501	-71.5147
79	1.6113	5.7028	-71.7455
79.1	1.6131	5.7564	-71.9768
79.2	1.615	5.811	-72.2086
79.3	1.6168	5.8666	-72.4408
79.4	1.6186	5.9232	-72.6736
79.5	1.6204	5.981	-72.9068
79.6	1.6223	6.0398	-73.1404
79.7	1.6241	6.0997	-73.3746
79.8	1.6259	6.1608	-73.6092
79.9	1.6277	6.2231	-73.8443
80	1.6295	6.2866	-74.0798
80.1	1.6313	6.3514	-74.3159
80.2	1.6331	6.4176	-74.5524
80.3	1.6349	6.485	-74.7894
80.4	1.6367	6.5539	-75.0269
80.5	1.6385	6.6242	-75.2648
80.6	1.6403	6.6959	-75.5032
80.7	1.6421	6.7692	-75.7421
80.8	1.6439	6.8441	-75.9815
80.9	1.6456	6.9206	-76.2213
81	1.6474	6.9988	-76.4616
81.1	1.6492	7.0788	-76.7024
81.2	1.651	7.1605	-76.9436
81.3	1.6527	7.2441	-77.1854
81.4	1.6545	7.3296	-77.4276
81.5	1.6562	7.4172	-77.6702
81.6	1.658	7.5068	-77.9134
81.7	1.6597	7.5985	-78.157
81.8	1.6615	7.6925	-78.4011
81.9	1.6632	7.7888	-78.6457
82	1.665	7.8874	-78.8907
82.1	1.6667	7.9886	-79.1362
82.2	1.6684	8.0923	-79.3822
82.3	1.6702	8.1987	-79.6287
82.4	1.6719	8.3079	-79.8756
82.5	1.6736	8.4199	-80.123
82.6	1.6753	8.535	-80.3709
82.7	1.6771	8.6532	-80.6192
82.8	1.6788	8.7747	-80.868
82.9	1.6805	8.8996	-81.1173
83	1.6822	9.028	-81.3671
83.1	1.6839	9.1602	-81.6173
83.2	1.6856	9.2962	-81.868
83.3	1.6873	9.4363	-82.1192
83.4	1.689	9.5805	-82.3708
83.5	1.6907	9.7292	-82.6229
83.6	1.6923	9.8825	-82.8755
83.7	1.694	10.0407	-83.1285
83.8	1.6957	10.204	-83.382
83.9	1.6974	10.3725	-83.636
84	1.699	10.5467	-83.8905
84.1	1.7007	10.7268	-84.1454
84.2	1.7023	10.913	-84.4008
84.3	1.704	11.1058	-84.6566
84.4	1.7057	11.3054	-84.913
84.5	1.7073	11.5123	-85.1697
84.6	1.7089	11.7268	-85.427
84.7	1.7106	11.9493	-85.6847
84.8	1.7122	12.1804	-85.9429
84.9	1.7138	12.4206	-86.2016
85	1.7155	12.6703	-86.4607
85.1	1.7171	12.9301	-86.7203
85.2	1.7187	13.2008	-86.9803
85.3	1.7203	13.483	-87.2408
85.4	1.7219	13.7774	-87.5018
85.5	1.7235	14.0849	-87.7632
85.6	1.7251	14.4063	-88.0251
85.7	1.7267	14.7426	-88.2875
85.8	1.7283	15.095	-88.5503
85.9	1.7299	15.4644	-88.8136
86	1.7315	15.8524	-89.0773
86.1	1.7331	16.2601	-89.3416
86.2	1.7347	16.6893	-89.6062
86.3	1.7362	17.1417	-89.8714
86.4	1.7378	17.6192	-90.1369
86.5	1.7394	18.1239	-90.403
86.6	1.7409	18.6583	-90.6695
86.7	1.7425	19.225	-90.9365
86.8	1.744	19.8271	-91.2039
86.9	1.7456	20.468	-91.4718
87	1.7471	21.1515	-91.7401
87.1	1.7486	21.8822	-92.0089
87.2	1.7502	22.665	-92.2782
87.3	1.7517	23.5058	-92.5479
87.4	1.7532	24.4112	-92.818
87.5	1.7547	25.3889	-93.0886
87.6	1.7562	26.4481	-93.3597
87.7	1.7577	27.5994	-93.6312
87.8	1.7592	28.8552	-93.9032
87.9	1.7607	30.2306	-94.1756
88	1.7622	31.7434	-94.4485
88.1	1.7637	33.4155	-94.7218
88.2	1.7652	35.2732	-94.9956
88.3	1.7667	37.3494	-95.2698
88.4	1.7682	39.6851	-95.5445
88.5	1.7696	42.3321	-95.8196
88.6	1.7711	45.3571	-96.0952
88.7	1.7726	48.8475	-96.3712
88.8	1.774	52.9195	-96.6477
88.9	1.7755	57.7317	-96.9246
89	1.7769	63.5062	-97.202
89.1	1.7783	70.5638	-97.4798
89.2	1.7798	79.3857	-97.7581
89.3	1.7812	90.7278	-98.0368
89.4	1.7826	105.8505	-98.3159
89.5	1.7841	131.675	-98.6451
89.6	1.7855	164.5953	-98.9152
89.7	1.7869	175.8975	-98.9841
89.8	1.7883	238.262	-99.2494
89.9	1.7883	238.262	-99.2494
90	1.7883	238.262	-99.2494

