Angle	RealHeight	Ref. Height	Distortion
16.3	0.3171	0.3241	-2.1599
16.4	0.3191	0.3263	-2.187
16.5	0.3211	0.3284	-2.2143
16.6	0.3231	0.3305	-2.2418
16.7	0.325	0.3326	-2.2695
16.8	0.327	0.3347	-2.2974
16.9	0.329	0.3368	-2.3254
17	0.3309	0.3389	-2.3537
17.1	0.3329	0.341	-2.3821
17.2	0.3349	0.3431	-2.4107
17.3	0.3368	0.3453	-2.4394
17.4	0.3388	0.3474	-2.4684
17.5	0.3408	0.3495	-2.4975
17.6	0.3428	0.3516	-2.5269
17.7	0.3447	0.3538	-2.5564
17.8	0.3467	0.3559	-2.586
17.9	0.3487	0.358	-2.6159
18	0.3506	0.3602	-2.6459
18.1	0.3526	0.3623	-2.6762
18.2	0.3546	0.3645	-2.7066
18.3	0.3566	0.3666	-2.7372
18.4	0.3585	0.3688	-2.768
18.5	0.3605	0.3709	-2.7989
18.6	0.3625	0.3731	-2.8301
18.7	0.3645	0.3752	-2.8614
18.8	0.3664	0.3774	-2.893
18.9	0.3684	0.3795	-2.9247
19	0.3704	0.3817	-2.9566
19.1	0.3724	0.3839	-2.9886
19.2	0.3744	0.386	-3.0209
19.3	0.3763	0.3882	-3.0533
19.4	0.3783	0.3904	-3.086
19.5	0.3803	0.3925	-3.1188
19.6	0.3823	0.3947	-3.1518
19.7	0.3843	0.3969	-3.185
19.8	0.3862	0.3991	-3.2184
19.9	0.3882	0.4013	-3.252
20	0.3902	0.4035	-3.2857
20.1	0.3922	0.4057	-3.3197
20.2	0.3942	0.4079	-3.3538
20.3	0.3962	0.41	-3.3882
20.4	0.3981	0.4122	-3.4227
20.5	0.4001	0.4145	-3.4574
20.6	0.4021	0.4167	-3.4923
20.7	0.4041	0.4189	-3.5274
20.8	0.4061	0.4211	-3.5626
20.9	0.4081	0.4233	-3.5981
21	0.4101	0.4255	-3.6338
21.1	0.412	0.4277	-3.6696
21.2	0.414	0.43	-3.7057
21.3	0.416	0.4322	-3.7419
21.4	0.418	0.4344	-3.7783
21.5	0.42	0.4367	-3.8149
21.6	0.422	0.4389	-3.8517
21.7	0.424	0.4411	-3.8887
21.8	0.426	0.4434	-3.9259
21.9	0.428	0.4456	-3.9633
22	0.4299	0.4479	-4.0009
22.1	0.4319	0.4501	-4.0387
22.2	0.4339	0.4524	-4.0767
22.3	0.4359	0.4546	-4.1148
22.4	0.4379	0.4569	-4.1532
22.5	0.4399	0.4592	-4.1917
22.6	0.4419	0.4614	-4.2305
22.7	0.4439	0.4637	-4.2694
22.8	0.4459	0.466	-4.3086
22.9	0.4479	0.4683	-4.3479
23	0.4499	0.4705	-4.3874
23.1	0.4519	0.4728	-4.4272
23.2	0.4539	0.4751	-4.4671
23.3	0.4559	0.4774	-4.5072
23.4	0.4579	0.4797	-4.5476
23.5	0.4599	0.482	-4.5881
23.6	0.4619	0.4843	-4.6288
23.7	0.4639	0.4866	-4.6697
23.8	0.4659	0.4889	-4.7108
23.9	0.4679	0.4912	-4.7522
24	0.4699	0.4935	-4.7937
24.1	0.4719	0.4959	-4.8354
24.2	0.4739	0.4982	-4.8773
24.3	0.4759	0.5005	-4.9194
24.4	0.4779	0.5028	-4.9617
24.5	0.4799	0.5052	-5.0043
24.6	0.4819	0.5075	-5.047
24.7	0.4839	0.5099	-5.0899
24.8	0.4859	0.5122	-5.133
24.9	0.4879	0.5146	-5.1763
25	0.4899	0.5169	-5.2199
25.1	0.4919	0.5193	-5.2636
25.2	0.4939	0.5216	-5.3075
25.3	0.4959	0.524	-5.3517
25.4	0.498	0.5264	-5.396
25.5	0.5	0.5287	-5.4406
25.6	0.502	0.5311	-5.4853
25.7	0.504	0.5335	-5.5303
